ItemName,ItemLocation,Manufacturer,Quantity,Servings Per,Servings Size,Units,Servings,ExpirationDate,Box,Manufactured Date,UPC,Damaged
Moist Wipes Travel Pack,Basement,Wet Ones,1,15,1,Towelette,15,4/1/08,128,,,
Pears,Basement,,2,3,120,grams,6,11/1/2009,25,,,
Cream of Mushroom Soup,Upstairs,Campbells,1,6,120,mL,6,1/13/10,,,,
Peaches,Basement,,1,3,140,grams,3,8/1/2010,25,,,
Canned Pears,Basement,LDS Welfare Services,2,3,120,grams,6,11/1/2010,19,,,
Cream of Chicken Soup,Upstairs,Campbells,1,6,120,mL,6,8/27/11,,,,
Cream of Chicken Soup,Upstairs,Campbells,1,6,120,mL,6,7/28/13,,,,
Chicken Noodle Soup,Basement Kitchen Pantry,Healthy Choice,3,2,243,grams,6,9/4/2014,,,050100402600,
Spaghetti O's,Upstairs,Campbells,2,3,252,grams,6,11/3/14,,,,
BBQ Sauce,Upstairs,Walden Farms,1,12,28,grams,12,12/4/14,,,,
Pizza Sauce,Upstairs,Ragu,1,6,63,grams,6,2/11/15,,,,
Total Toothpaste,Basement Kitchen Pantry,Colgate,4,1,226,grams,4,7/1/2015,10,,035000745644,
DayQuil/NyQuil,Basement,Vicks,1,32Day/ 16Night,1 liquid Cap,Liquid Caps,48,8/1/15,140,,,
Macaroni and Cheese,Basement,Kraft,24,3,70,grams,72,12/7/2015,18,,,
Macaroni and Cheese - Mini Shell Noodle,Basement,Kraft,24,3,70,grams,72,12/7/2015,19,,,
Cream of Chicken Soup,Upstairs,Campbells,1,2.5,120,mL,2.5,12/10/15,,,,
Mac & Cheese,Basement Kitchen Pantry,Kraft,1,4,98,grams,4,12/13/2015,,,021000658862,
Macaroni and Cheese,Basement,Kraft,1,4,98,grams,4,12/13/2015,18,,,
Beef Jerky,Basement Kitchen Pantry,Matador,4,3,28,grams,12,1/8/2016,,,028400297455,
Spaghetti O Original,Basement Kitchen Cupboard,Campbells,2,2,252,grams,4,1/14/2016,26,,051000180018,
Tic Tacs,Basement,Ferrero,12,54,0.49,grams,648,2/1/2016,31,,009800001811,
Mac & Cheese,Basement Kitchen Pantry,Kraft,3,4,98,grams,12,2/2/2016,,,021000658862,
Macaroni and Cheese,Basement,Kraft,3,4,98,grams,12,2/2/2016,18,,,
Spaghetti O Original,Basement Kitchen Cupboard,Campbells,6,2,252,grams,12,2/7/2016,26,,051000180018,
Chicken Alfredo,Basement Kitchen Cupboard,Chef Boyardee,3,2,234,grams,6,2/9/2016,25,,064144020737,
Spaghetti O Meatballs,Basement Kitchen Cupboard,Campbells,4,2,252,grams,8,2/14/2016,26,,051000025265,
Macaroni and Cheese,Basement,Kraft,20,3,70,grams,60,2/25/2016,18,,,
Roasted Turkey Gravy,Upstairs,Heinz,2,6,60,grams,12,3/28/16,,,,
Chicken Alfredo,Basement Kitchen Cupboard,Chef Boyardee,1,2,234,grams,2,3/30/2016,25,,064144020737,
Beef Jerky,Basement Kitchen Pantry,Oberto,3,3,28,grams,9,4/5/2016,19,,070411013418,
Cream of Celery,Upstairs,Campbells,1,2.5,120,mL,2.5,5/8/16,,,,
Classic Chicken Noodle,Basement,Campbells,9,2,240,ml,18,5/11/2016,21,,,
Clam Chowder,Basement,Campbells,11,2,240,ml,22,6/25/2016,21,,,
Clam Chowder,Basement,Campbells,1,2,240,ml,2,6/25/2016,24,,,
Ketchup,Basement,Heinz,2,106,17,grams,212,6/28/2016,26,,,
Sirloin Burger Soup,Basement,Campbells,6,2,240,ml,12,6/28/2016,24,,,
Beefaroni,Basement Kitchen Cupboard,Chef Boyardee,1,2,249,grams,2,7/26/2016,24,,064144043026,
Ketchup,Basement,Heinz,2,106,17,grams,212,7/28/2016,26,,,
Jalopeno Hot Chili,Basement Kitchen Cupboard,Nalley,2,2,260,grams,4,7/31/2016,21,,,
Optic White Toothpaste,Basement Kitchen Pantry,Colgate,4,1,141,grams,4,8/1/2016,10,,035000763808,
Tylenol,Basement,Tylenol,1,100 Capsules,1 Capsule,Capsules,100,8/1/16,140,,,
Pure Vegetable Oil,Basement Kitchen Pantry,Crisco,2,96,14,grams,192,8/4/2016,,,051500253625,
Beef Pot Roast,Basement Kitchen Cupboard,Progresso,2,2,247,grams,4,8/21/2016,25,,041196914030,
Mini Beef Ravioli,Basement Kitchen Cupboard,Chef Boyardee,4,2,256,grams,8,8/24/2016,25,,064144043354,
Thick Chili,Basement Kitchen Cupboard,Nalley,2,2,255,grams,4,8/24/2016,26,,041321241253,
